"Tabela 3540 - Pessoas de 10 anos ou mais de idade, por nível de instrução, segundo a situação do domicílio, o sexo, a cor ou raça e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Ano x Nível de instrução x Situação do domicílio x Sexo"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"2010"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Total";;;"Sem instrução e fundamental incompleto";;;"Fundamental completo e médio incompleto";;;"Médio completo e superior incompleto"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Total";;;"Total";;;"Total";;;"Total"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Brasil";"Total";"Total";"161981299";"78757681";"83223618";"81386577";"41348251";"40038326";"28178794";"13740873";"14437921";"37980515";"17577373";"20403143"
"Brasil";"Total";"10 a 14 anos";"17167135";"8727095";"8440040";"16343432";"8359248";"7984184";"667578";"292345";"375233";"17207";"8808";"8399"
"Brasil";"Total";"14 anos";"3504675";"1771572";"1733103";"2904267";"1514063";"1390204";"516825";"217693";"299133";"9319";"4516";"4803"
"Brasil";"Total";"15 a 19 anos";"16986788";"8557608";"8429180";"6202364";"3606722";"2595642";"7415463";"3502286";"3913178";"2906096";"1232234";"1673862"
"Brasil";"Total";"20 a 24 anos";"17240864";"8627665";"8613199";"4374675";"2544132";"1830543";"3891501";"2046377";"1845124";"7900399";"3618405";"4281994"
"Brasil";"Branca";"Total";"77416302";"36781217";"40635085";"33151747";"16312547";"16839201";"13424041";"6512475";"6911566";"20513245";"9530825";"10982420"
"Brasil";"Branca";"10 a 14 anos";"7168453";"3614364";"3554089";"6759486";"3430100";"3329386";"335784";"148866";"186918";"8099";"4214";"3885"
"Brasil";"Branca";"14 anos";"1454211";"729349";"724863";"1149955";"595755";"554200";"265996";"115006";"150990";"4517";"2245";"2272"
"Brasil";"Branca";"15 a 19 anos";"7286174";"3606726";"3679448";"2002520";"1157499";"845020";"3445723";"1651863";"1793860";"1613229";"692708";"920520"
"Brasil";"Branca";"20 a 24 anos";"7746080";"3799194";"3946886";"1375830";"794380";"581450";"1538606";"815108";"723499";"4103402";"1906446";"2196956"
"Brasil";"Preta";"Total";"12832886";"6638707";"6194179";"7293638";"3919808";"3373830";"2214820";"1143329";"1071490";"2745867";"1335056";"1410811"
"Brasil";"Preta";"10 a 14 anos";"1132727";"601796";"530931";"1089104";"581215";"507889";"34429";"15596";"18833";"1087";"633";"454"
"Brasil";"Preta";"14 anos";"241883";"129128";"112756";"211720";"115560";"96160";"25216";"10977";"14239";"672";"380";"292"
"Brasil";"Preta";"15 a 19 anos";"1239108";"656320";"582788";"570639";"342061";"228578";"486162";"234776";"251386";"153799";"65933";"87866"
"Brasil";"Preta";"20 a 24 anos";"1364950";"720553";"644397";"436731";"267102";"169629";"346433";"188743";"157689";"536727";"246460";"290267"
"Brasil";"Parda";"Total";"69232715";"34183887";"35048828";"39671447";"20503259";"19168187";"12154696";"5912917";"6241779";"14174701";"6474374";"7700326"
"Brasil";"Parda";"10 a 14 anos";"8607040";"4385428";"4221612";"8246831";"4226993";"4019837";"288456";"124186";"164270";"7877";"3889";"3988"
"Brasil";"Parda";"14 anos";"1755134";"887657";"867476";"1497299";"780684";"716615";"218713";"88928";"129784";"4021";"1836";"2185"
"Brasil";"Parda";"15 a 19 anos";"8201111";"4173192";"4027918";"3514295";"2046584";"1467711";"3384732";"1573782";"1810950";"1099541";"457856";"641685"
"Brasil";"Parda";"20 a 24 anos";"7848811";"3977514";"3871297";"2472713";"1435479";"1037234";"1947861";"1014577";"933284";"3144511";"1416692";"1727819"
"Norte";"Total";"Total";"12669874";"6378250";"6291624";"7156980";"3826100";"3330880";"2127288";"1045725";"1081563";"2669387";"1214012";"1455374"
"Norte";"Total";"10 a 14 anos";"1756716";"893805";"862911";"1691651";"864958";"826693";"54049";"23630";"30419";"1622";"860";"762"
"Norte";"Total";"14 anos";"353043";"177915";"175128";"307124";"158846";"148278";"40070";"16454";"23616";"829";"414";"415"
"Norte";"Total";"15 a 19 anos";"1644421";"827773";"816648";"792958";"443167";"349791";"622473";"288079";"334394";"191275";"79114";"112161"
"Norte";"Total";"20 a 24 anos";"1553623";"779350";"774273";"538684";"298713";"239970";"370309";"191513";"178796";"584040";"265474";"318565"
"Norte";"Branca";"Total";"2931370";"1425879";"1505492";"1417870";"732903";"684967";"501429";"245004";"256424";"733554";"331173";"402381"
"Norte";"Branca";"10 a 14 anos";"363010";"177438";"185573";"345802";"170121";"175681";"14260";"5934";"8326";"385";"194";"192"
"Norte";"Branca";"14 anos";"73412";"35542";"37870";"60878";"30486";"30391";"10891";"4260";"6631";"236";"108";"128"
"Norte";"Branca";"15 a 19 anos";"359513";"173611";"185901";"142875";"77137";"65739";"151036";"69677";"81359";"56248";"22504";"33744"
