Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,"Intentional homicide rates per 100,000",6.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Male",10.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Female",2.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2010,"Intentional homicide rates per 100,000",6.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Male",9.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Female",2.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2015,"Intentional homicide rates per 100,000",5.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2015,"Percentage of male and female intentional homicide victims, Male",9.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2015,"Percentage of male and female intentional homicide victims, Female",2.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2020,"Intentional homicide rates per 100,000",5.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2020,"Percentage of male and female intentional homicide victims, Male",8.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2020,"Percentage of male and female intentional homicide victims, Female",2.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2023,"Intentional homicide rates per 100,000",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2023,"Percentage of male and female intentional homicide victims, Male",8.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
1,"Total, all countries or areas",2023,"Percentage of male and female intentional homicide victims, Female",2.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2005,"Intentional homicide rates per 100,000",12.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2005,"Percentage of male and female intentional homicide victims, Male",21.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2005,"Percentage of male and female intentional homicide victims, Female",4.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2010,"Intentional homicide rates per 100,000",12.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2010,"Percentage of male and female intentional homicide victims, Male",20.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2010,"Percentage of male and female intentional homicide victims, Female",4.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2015,"Intentional homicide rates per 100,000",12.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2015,"Percentage of male and female intentional homicide victims, Male",20.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2015,"Percentage of male and female intentional homicide victims, Female",4.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2020,"Intentional homicide rates per 100,000",10.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2020,"Percentage of male and female intentional homicide victims, Male",18.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2020,"Percentage of male and female intentional homicide victims, Female",3.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2023,"Intentional homicide rates per 100,000",10.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2023,"Percentage of male and female intentional homicide victims, Male",17.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
2,Africa,2023,"Percentage of male and female intentional homicide victims, Female",4.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2005,"Intentional homicide rates per 100,000",5.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2005,"Percentage of male and female intentional homicide victims, Male",8.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2005,"Percentage of male and female intentional homicide victims, Female",1.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2010,"Intentional homicide rates per 100,000",5.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2010,"Percentage of male and female intentional homicide victims, Male",9.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2010,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2015,"Intentional homicide rates per 100,000",5.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2015,"Percentage of male and female intentional homicide victims, Male",9.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2015,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2020,"Intentional homicide rates per 100,000",5.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2020,"Percentage of male and female intentional homicide victims, Male",9.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2020,"Percentage of male and female intentional homicide victims, Female",2.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2023,"Intentional homicide rates per 100,000",5.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2023,"Percentage of male and female intentional homicide victims, Male",8.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
15,Northern Africa,2023,"Percentage of male and female intentional homicide victims, Female",2.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2005,"Intentional homicide rates per 100,000",14.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2005,"Percentage of male and female intentional homicide victims, Male",24.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2005,"Percentage of male and female intentional homicide victims, Female",4.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2010,"Intentional homicide rates per 100,000",13.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2010,"Percentage of male and female intentional homicide victims, Male",23.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2010,"Percentage of male and female intentional homicide victims, Female",4.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2015,"Intentional homicide rates per 100,000",14.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2015,"Percentage of male and female intentional homicide victims, Male",23.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2015,"Percentage of male and female intentional homicide victims, Female",4.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2020,"Intentional homicide rates per 100,000",12.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2020,"Percentage of male and female intentional homicide victims, Male",20.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2020,"Percentage of male and female intentional homicide victims, Female",4.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2023,"Intentional homicide rates per 100,000",11.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2023,"Percentage of male and female intentional homicide victims, Male",19.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
202,Sub-Saharan Africa,2023,"Percentage of male and female intentional homicide victims, Female",4.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2005,"Intentional homicide rates per 100,000",15.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2005,"Percentage of male and female intentional homicide victims, Male",26.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2005,"Percentage of male and female intentional homicide victims, Female",3.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2010,"Intentional homicide rates per 100,000",16.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2010,"Percentage of male and female intentional homicide victims, Male",30.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2010,"Percentage of male and female intentional homicide victims, Female",3.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2015,"Intentional homicide rates per 100,000",16.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2015,"Percentage of male and female intentional homicide victims, Male",28.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2015,"Percentage of male and female intentional homicide victims, Female",3.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2020,"Intentional homicide rates per 100,000",15.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2020,"Percentage of male and female intentional homicide victims, Male",26.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2020,"Percentage of male and female intentional homicide victims, Female",3.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2023,"Intentional homicide rates per 100,000",14.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2023,"Percentage of male and female intentional homicide victims, Male",25.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
19,Americas,2023,"Percentage of male and female intentional homicide victims, Female",3.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
21,Northern America,2005,"Intentional homicide rates per 100,000",5.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
21,Northern America,2010,"Intentional homicide rates per 100,000",4.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2025."
