UF,Tipo Crime,Ano,Mês,Ocorrências
ACRE,ESTUPRO,2022,JANEIRO,31
ACRE,FURTO DE VEÍCULO,2022,JANEIRO,50
ACRE,HOMICÍDIO DOLOSO,2022,JANEIRO,10
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,1
ACRE,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,JANEIRO,0
ACRE,ROUBO DE CARGA,2022,JANEIRO,0
ACRE,ROUBO DE VEÍCULO,2022,JANEIRO,72
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,0
ACRE,TENTATIVA DE HOMICÍDIO,2022,JANEIRO,22
ACRE,ESTUPRO,2022,FEVEREIRO,34
ACRE,FURTO DE VEÍCULO,2022,FEVEREIRO,55
ACRE,HOMICÍDIO DOLOSO,2022,FEVEREIRO,10
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,0
ACRE,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,FEVEREIRO,0
ACRE,ROUBO DE CARGA,2022,FEVEREIRO,0
ACRE,ROUBO DE VEÍCULO,2022,FEVEREIRO,48
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,2
ACRE,TENTATIVA DE HOMICÍDIO,2022,FEVEREIRO,18
ACRE,ESTUPRO,2022,MARÇO,57
ACRE,FURTO DE VEÍCULO,2022,MARÇO,44
ACRE,HOMICÍDIO DOLOSO,2022,MARÇO,21
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,0
ACRE,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,MARÇO,0
ACRE,ROUBO DE CARGA,2022,MARÇO,0
ACRE,ROUBO DE VEÍCULO,2022,MARÇO,68
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,0
ACRE,TENTATIVA DE HOMICÍDIO,2022,MARÇO,37
ACRE,ESTUPRO,2022,ABRIL,28
ACRE,FURTO DE VEÍCULO,2022,ABRIL,40
ACRE,HOMICÍDIO DOLOSO,2022,ABRIL,21
ACRE,ROUBO DE VEÍCULO,2022,ABRIL,52
ACRE,TENTATIVA DE HOMICÍDIO,2022,ABRIL,27
ACRE,ESTUPRO,2022,MAIO,45
ACRE,FURTO DE VEÍCULO,2022,MAIO,29
ACRE,HOMICÍDIO DOLOSO,2022,MAIO,23
ACRE,ROUBO DE VEÍCULO,2022,MAIO,61
ACRE,TENTATIVA DE HOMICÍDIO,2022,MAIO,31
ACRE,ESTUPRO,2022,JUNHO,45
ACRE,FURTO DE VEÍCULO,2022,JUNHO,50
ACRE,HOMICÍDIO DOLOSO,2022,JUNHO,12
ACRE,ROUBO DE VEÍCULO,2022,JUNHO,50
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JUNHO,1
ACRE,TENTATIVA DE HOMICÍDIO,2022,JUNHO,22
ACRE,ESTUPRO,2022,JULHO,62
ACRE,FURTO DE VEÍCULO,2022,JULHO,44
ACRE,HOMICÍDIO DOLOSO,2022,JULHO,20
ACRE,ROUBO DE VEÍCULO,2022,JULHO,49
ACRE,TENTATIVA DE HOMICÍDIO,2022,JULHO,39
ACRE,ESTUPRO,2022,AGOSTO,47
ACRE,FURTO DE VEÍCULO,2022,AGOSTO,34
ACRE,HOMICÍDIO DOLOSO,2022,AGOSTO,9
ACRE,ROUBO DE VEÍCULO,2022,AGOSTO,47
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,1
ACRE,TENTATIVA DE HOMICÍDIO,2022,AGOSTO,32
ACRE,ESTUPRO,2022,SETEMBRO,59
ACRE,FURTO DE VEÍCULO,2022,SETEMBRO,33
ACRE,HOMICÍDIO DOLOSO,2022,SETEMBRO,16
ACRE,ROUBO DE VEÍCULO,2022,SETEMBRO,57
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,SETEMBRO,1
ACRE,TENTATIVA DE HOMICÍDIO,2022,SETEMBRO,26
ACRE,ESTUPRO,2022,OUTUBRO,49
ACRE,FURTO DE VEÍCULO,2022,OUTUBRO,41
ACRE,HOMICÍDIO DOLOSO,2022,OUTUBRO,14
ACRE,ROUBO DE VEÍCULO,2022,OUTUBRO,52
ACRE,TENTATIVA DE HOMICÍDIO,2022,OUTUBRO,41
ACRE,ESTUPRO,2022,NOVEMBRO,53
ACRE,FURTO DE VEÍCULO,2022,NOVEMBRO,41
ACRE,HOMICÍDIO DOLOSO,2022,NOVEMBRO,29
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,NOVEMBRO,2
ACRE,ROUBO DE VEÍCULO,2022,NOVEMBRO,61
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,NOVEMBRO,1
ACRE,TENTATIVA DE HOMICÍDIO,2022,NOVEMBRO,30
ACRE,ESTUPRO,2022,DEZEMBRO,58
ACRE,FURTO DE VEÍCULO,2022,DEZEMBRO,52
ACRE,HOMICÍDIO DOLOSO,2022,DEZEMBRO,22
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,DEZEMBRO,1
ACRE,ROUBO DE VEÍCULO,2022,DEZEMBRO,43
ACRE,TENTATIVA DE HOMICÍDIO,2022,DEZEMBRO,31
ALAGOAS,ESTUPRO,2022,JANEIRO,57
ALAGOAS,FURTO DE VEÍCULO,2022,JANEIRO,160
ALAGOAS,HOMICÍDIO DOLOSO,2022,JANEIRO,102
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,0
ALAGOAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,JANEIRO,0
ALAGOAS,ROUBO DE CARGA,2022,JANEIRO,1
ALAGOAS,ROUBO DE VEÍCULO,2022,JANEIRO,130
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,1
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,JANEIRO,47
ALAGOAS,ESTUPRO,2022,FEVEREIRO,45
ALAGOAS,FURTO DE VEÍCULO,2022,FEVEREIRO,144
ALAGOAS,HOMICÍDIO DOLOSO,2022,FEVEREIRO,85
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,0
ALAGOAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,FEVEREIRO,0
ALAGOAS,ROUBO DE CARGA,2022,FEVEREIRO,0
ALAGOAS,ROUBO DE VEÍCULO,2022,FEVEREIRO,138
