UF,Tipo Crime,Ano,Mês,Sexo da Vítima,Vítimas
ACRE,HOMICÍDIO DOLOSO,2022,JANEIRO,FEMININO,2
ACRE,HOMICÍDIO DOLOSO,2022,JANEIRO,MASCULINO,8
ACRE,HOMICÍDIO DOLOSO,2022,JANEIRO,SEXO NI,0
ACRE,HOMICÍDIO DOLOSO,2022,FEVEREIRO,FEMININO,0
ACRE,HOMICÍDIO DOLOSO,2022,FEVEREIRO,MASCULINO,10
ACRE,HOMICÍDIO DOLOSO,2022,FEVEREIRO,SEXO NI,0
ACRE,HOMICÍDIO DOLOSO,2022,MARÇO,FEMININO,2
ACRE,HOMICÍDIO DOLOSO,2022,MARÇO,MASCULINO,19
ACRE,HOMICÍDIO DOLOSO,2022,MARÇO,SEXO NI,0
ACRE,HOMICÍDIO DOLOSO,2022,ABRIL,FEMININO,2
ACRE,HOMICÍDIO DOLOSO,2022,ABRIL,MASCULINO,19
ACRE,HOMICÍDIO DOLOSO,2022,MAIO,FEMININO,6
ACRE,HOMICÍDIO DOLOSO,2022,MAIO,MASCULINO,17
ACRE,HOMICÍDIO DOLOSO,2022,JUNHO,FEMININO,3
ACRE,HOMICÍDIO DOLOSO,2022,JUNHO,MASCULINO,9
ACRE,HOMICÍDIO DOLOSO,2022,JULHO,FEMININO,2
ACRE,HOMICÍDIO DOLOSO,2022,JULHO,MASCULINO,18
ACRE,HOMICÍDIO DOLOSO,2022,AGOSTO,MASCULINO,9
ACRE,HOMICÍDIO DOLOSO,2022,SETEMBRO,FEMININO,1
ACRE,HOMICÍDIO DOLOSO,2022,SETEMBRO,MASCULINO,15
ACRE,HOMICÍDIO DOLOSO,2022,OUTUBRO,FEMININO,1
ACRE,HOMICÍDIO DOLOSO,2022,OUTUBRO,MASCULINO,13
ACRE,HOMICÍDIO DOLOSO,2022,NOVEMBRO,FEMININO,3
ACRE,HOMICÍDIO DOLOSO,2022,NOVEMBRO,MASCULINO,26
ACRE,HOMICÍDIO DOLOSO,2022,DEZEMBRO,FEMININO,1
ACRE,HOMICÍDIO DOLOSO,2022,DEZEMBRO,MASCULINO,21
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,FEMININO,0
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,MASCULINO,1
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,SEXO NI,0
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,FEMININO,0
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,MASCULINO,0
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,SEXO NI,0
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,FEMININO,0
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,MASCULINO,0
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,SEXO NI,0
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,NOVEMBRO,MASCULINO,2
ACRE,LESÃO CORPORAL SEGUIDA DE MORTE,2022,DEZEMBRO,MASCULINO,1
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,FEMININO,0
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,MASCULINO,0
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,SEXO NI,0
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,FEMININO,1
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,MASCULINO,1
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,SEXO NI,0
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,FEMININO,0
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,MASCULINO,0
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,SEXO NI,0
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JUNHO,MASCULINO,1
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,AGOSTO,MASCULINO,1
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,SETEMBRO,MASCULINO,1
ACRE,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,NOVEMBRO,MASCULINO,1
ALAGOAS,HOMICÍDIO DOLOSO,2022,JANEIRO,FEMININO,11
ALAGOAS,HOMICÍDIO DOLOSO,2022,JANEIRO,MASCULINO,91
ALAGOAS,HOMICÍDIO DOLOSO,2022,JANEIRO,SEXO NI,0
ALAGOAS,HOMICÍDIO DOLOSO,2022,FEVEREIRO,FEMININO,0
ALAGOAS,HOMICÍDIO DOLOSO,2022,FEVEREIRO,MASCULINO,85
ALAGOAS,HOMICÍDIO DOLOSO,2022,FEVEREIRO,SEXO NI,0
ALAGOAS,HOMICÍDIO DOLOSO,2022,MARÇO,FEMININO,8
ALAGOAS,HOMICÍDIO DOLOSO,2022,MARÇO,MASCULINO,87
ALAGOAS,HOMICÍDIO DOLOSO,2022,MARÇO,SEXO NI,0
