,date,price,percentChange,change
1,01/04/1983,30.63,4.646,1.36
2,01/05/1983,30.25,-1.241,-0.38
3,01/06/1983,31.38,3.736,1.13
4,01/07/1983,32.0,1.976,0.62
5,01/08/1983,31.59,-1.281,-0.41
6,01/09/1983,30.36,-3.894,-1.23
7,01/10/1983,30.37,0.033,0.01
8,01/11/1983,29.23,-3.754,-1.14
9,01/12/1983,29.6,1.266,0.37
10,01/01/1984,29.98,1.284,0.38
11,01/02/1984,30.55,1.901,0.57
12,01/03/1984,30.85,0.982,0.3
13,01/04/1984,30.26,-1.912,-0.59
14,01/05/1984,30.83,1.884,0.57
15,01/06/1984,29.75,-3.503,-1.08
16,01/07/1984,27.6,-7.227,-2.15
17,01/08/1984,29.23,5.906,1.63
18,01/09/1984,29.66,1.471,0.43
19,01/10/1984,28.46,-4.046,-1.2
20,01/11/1984,27.31,-4.041,-1.15
21,01/12/1984,26.41,-3.295,-0.9
22,01/01/1985,26.41,0.0,0.0
23,01/02/1985,26.73,1.212,0.32
24,01/03/1985,28.29,5.836,1.56
25,01/04/1985,27.63,-2.333,-0.66
26,01/05/1985,27.84,0.76,0.21
27,01/06/1985,26.87,-3.484,-0.97
28,01/07/1985,27.12,0.93,0.25
29,01/08/1985,28.08,3.54,0.96
30,01/09/1985,29.08,3.561,1.0
31,01/10/1985,30.38,4.47,1.3
32,01/11/1985,29.75,-2.074,-0.63
33,01/12/1985,26.3,-11.597,-3.45
34,01/01/1986,18.83,-28.403,-7.47
35,01/02/1986,13.26,-29.58,-5.57
36,01/03/1986,10.42,-21.418,-2.84
37,01/04/1986,13.34,28.023,2.92
38,01/05/1986,14.3,7.196,0.96
39,01/06/1986,12.78,-10.629,-1.52
40,01/07/1986,11.15,-12.754,-1.63
41,01/08/1986,15.9,42.601,4.75
42,01/09/1986,14.77,-7.107,-1.13
43,01/10/1986,15.27,3.385,0.5
44,01/11/1986,15.0,-1.768,-0.27
45,01/12/1986,17.94,19.6,2.94
46,01/01/1987,18.75,4.515,0.81
47,01/02/1987,16.6,-11.467,-2.15
48,01/03/1987,18.83,13.434,2.23
49,01/04/1987,18.73,-0.531,-0.1
50,01/05/1987,19.38,3.47,0.65
51,01/06/1987,20.29,4.696,0.91
52,01/07/1987,21.37,5.323,1.08
53,01/08/1987,19.73,-7.674,-1.64
54,01/09/1987,19.59,-0.71,-0.14
55,01/10/1987,19.96,1.889,0.37
56,01/11/1987,18.51,-7.265,-1.45
57,01/12/1987,16.7,-9.778,-1.81
58,01/01/1988,16.94,1.437,0.24
59,01/02/1988,16.01,-5.49,-0.93
60,01/03/1988,17.08,6.683,1.07
61,01/04/1988,17.99,5.328,0.91
62,01/05/1988,17.51,-2.668,-0.48
63,01/06/1988,15.16,-13.421,-2.35
64,01/07/1988,16.31,7.586,1.15
65,01/08/1988,15.18,-6.928,-1.13
66,01/09/1988,13.37,-11.924,-1.81
67,01/10/1988,13.58,1.571,0.21
68,01/11/1988,15.32,12.813,1.74
69,01/12/1988,17.24,12.533,1.92
70,01/01/1989,17.03,-1.218,-0.21
71,01/02/1989,18.15,6.577,1.12
