T30,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Percentage of individuals using the internet,15.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
1,"Total, all countries or areas",2010,Percentage of individuals using the internet,28.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
1,"Total, all countries or areas",2015,Percentage of individuals using the internet,39.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
1,"Total, all countries or areas",2020,Percentage of individuals using the internet,58.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
1,"Total, all countries or areas",2021,Percentage of individuals using the internet,61.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
1,"Total, all countries or areas",2022,Percentage of individuals using the internet,63.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
1,"Total, all countries or areas",2023,Percentage of individuals using the internet,65.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
15,Northern Africa,2005,Percentage of individuals using the internet,9.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
15,Northern Africa,2010,Percentage of individuals using the internet,23.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
15,Northern Africa,2015,Percentage of individuals using the internet,36.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
15,Northern Africa,2020,Percentage of individuals using the internet,64.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
15,Northern Africa,2021,Percentage of individuals using the internet,67.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
15,Northern Africa,2022,Percentage of individuals using the internet,68.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
15,Northern Africa,2023,Percentage of individuals using the internet,69.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
202,Sub-Saharan Africa,2005,Percentage of individuals using the internet,2.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
202,Sub-Saharan Africa,2010,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
202,Sub-Saharan Africa,2015,Percentage of individuals using the internet,15.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
202,Sub-Saharan Africa,2020,Percentage of individuals using the internet,27.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
202,Sub-Saharan Africa,2021,Percentage of individuals using the internet,30.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
202,Sub-Saharan Africa,2022,Percentage of individuals using the internet,32.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
202,Sub-Saharan Africa,2023,Percentage of individuals using the internet,34.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
14,Eastern Africa,2005,Percentage of individuals using the internet,1.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
14,Eastern Africa,2010,Percentage of individuals using the internet,3.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
14,Eastern Africa,2015,Percentage of individuals using the internet,10.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
14,Eastern Africa,2020,Percentage of individuals using the internet,17.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
14,Eastern Africa,2021,Percentage of individuals using the internet,19.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
14,Eastern Africa,2022,Percentage of individuals using the internet,22.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
14,Eastern Africa,2023,Percentage of individuals using the internet,25.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
17,Middle Africa,2005,Percentage of individuals using the internet,0.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
17,Middle Africa,2010,Percentage of individuals using the internet,2.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
17,Middle Africa,2015,Percentage of individuals using the internet,9.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
