year;areakm;municipality;geocode_ibge;state
2007;1093,8321878770955;Acrelândia;1200013;Acre
2008;23,667086506325784;Acrelândia;1200013;Acre
2009;12,938233470876042;Acrelândia;1200013;Acre
2010;11,332077910952066;Acrelândia;1200013;Acre
2011;15,938637565909092;Acrelândia;1200013;Acre
2012;4,164717505271136;Acrelândia;1200013;Acre
2013;9,475556251085074;Acrelândia;1200013;Acre
2014;18,89677268323092;Acrelândia;1200013;Acre
2015;14,761802283622734;Acrelândia;1200013;Acre
2016;23,80569057400334;Acrelândia;1200013;Acre
2017;5,710904951045483;Acrelândia;1200013;Acre
2018;21,78438961397124;Acrelândia;1200013;Acre
2019;19,887947144210557;Acrelândia;1200013;Acre
2020;12,937555759991474;Acrelândia;1200013;Acre
2021;38,26531229977364;Acrelândia;1200013;Acre
2022;18,502611989802492;Acrelândia;1200013;Acre
2023;12,046045357686776;Acrelândia;1200013;Acre
2024;9,946516601450215;Acrelândia;1200013;Acre
2025;6,013731178062066;Acrelândia;1200013;Acre
2007;303,16126789858436;Assis Brasil;1200054;Acre
2008;3,4195264346937395;Assis Brasil;1200054;Acre
2009;1,6006989968904313;Assis Brasil;1200054;Acre
2010;3,7737745178659883;Assis Brasil;1200054;Acre
2011;2,819383796768164;Assis Brasil;1200054;Acre
2012;2,3987495682859317;Assis Brasil;1200054;Acre
2013;4,8037779662264395;Assis Brasil;1200054;Acre
2014;7,6754682214813545;Assis Brasil;1200054;Acre
2015;5,93927857334609;Assis Brasil;1200054;Acre
2016;2,893949749129375;Assis Brasil;1200054;Acre
2017;6,391257471858934;Assis Brasil;1200054;Acre
2018;7,9258649375114345;Assis Brasil;1200054;Acre
2019;21,14388883077875;Assis Brasil;1200054;Acre
2020;18,174809651032795;Assis Brasil;1200054;Acre
2021;17,649863772755367;Assis Brasil;1200054;Acre
2022;8,464228214572767;Assis Brasil;1200054;Acre
2023;7,38163113908998;Assis Brasil;1200054;Acre
2024;6,151392007876431;Assis Brasil;1200054;Acre
2025;5,128830123209605;Assis Brasil;1200054;Acre
2007;1437,928067764156;Brasiléia;1200104;Acre
2008;12,663382698935903;Brasiléia;1200104;Acre
2009;8,217565014542963;Brasiléia;1200104;Acre
2010;11,95499652326508;Brasiléia;1200104;Acre
2011;14,51902502487823;Brasiléia;1200104;Acre
2012;12,888066060980252;Brasiléia;1200104;Acre
2013;17,19425874249208;Brasiléia;1200104;Acre
2014;33,4239791125083;Brasiléia;1200104;Acre
2015;22,060364190625318;Brasiléia;1200104;Acre
2016;17,714445001308725;Brasiléia;1200104;Acre
2017;23,126602253996346;Brasiléia;1200104;Acre
2018;21,087134697441165;Brasiléia;1200104;Acre
2019;58,610645321305206;Brasiléia;1200104;Acre
2020;40,12106795345105;Brasiléia;1200104;Acre
2021;61,198837389223186;Brasiléia;1200104;Acre
2022;30,60927515580711;Brasiléia;1200104;Acre
2023;22,513435659476936;Brasiléia;1200104;Acre
2024;19,109420689571383;Brasiléia;1200104;Acre
2025;8,892607135046132;Brasiléia;1200104;Acre
2007;1215,295902041241;Bujari;1200138;Acre
2008;15,772079950007734;Bujari;1200138;Acre
2009;7,62123702008287;Bujari;1200138;Acre
2010;8,26008647540029;Bujari;1200138;Acre
2011;9,566167963095193;Bujari;1200138;Acre
2012;10,1068074100788;Bujari;1200138;Acre
2013;8,37487648568528;Bujari;1200138;Acre
2014;8,985015685493341;Bujari;1200138;Acre
2015;9,356943726987918;Bujari;1200138;Acre
2016;17,287004591828506;Bujari;1200138;Acre
2017;7,629898078104421;Bujari;1200138;Acre
2018;13,712328840826617;Bujari;1200138;Acre
2019;26,054598331675866;Bujari;1200138;Acre
2020;17,65150598391532;Bujari;1200138;Acre
2021;25,800045629324806;Bujari;1200138;Acre
2022;37,21030550190558;Bujari;1200138;Acre
2023;15,990253718655495;Bujari;1200138;Acre
2024;18,791053024627438;Bujari;1200138;Acre
2025;14,01587240434311;Bujari;1200138;Acre
2007;892,036398500983;Capixaba;1200179;Acre
2008;8,829852107334025;Capixaba;1200179;Acre
2009;3,787125956609741;Capixaba;1200179;Acre
2010;3,748554356944063;Capixaba;1200179;Acre
2011;9,45690423162658;Capixaba;1200179;Acre
2012;15,112407035988177;Capixaba;1200179;Acre
2013;5,757857577625441;Capixaba;1200179;Acre
2014;9,618370413339218;Capixaba;1200179;Acre
2015;6,085182786487963;Capixaba;1200179;Acre
2016;16,645933264558256;Capixaba;1200179;Acre
2017;11,572004169164893;Capixaba;1200179;Acre
2018;10,26721765885418;Capixaba;1200179;Acre
2019;27,76829846424973;Capixaba;1200179;Acre
2020;18,800887694264;Capixaba;1200179;Acre
2021;29,395530606686496;Capixaba;1200179;Acre
2022;31,977265288266395;Capixaba;1200179;Acre
2023;12,048017183348119;Capixaba;1200179;Acre
2024;6,727511093547653;Capixaba;1200179;Acre
2025;6,503015099756794;Capixaba;1200179;Acre
2007;1051,9521268058504;Cruzeiro do Sul;1200203;Acre
2008;11,024729988661475;Cruzeiro do Sul;1200203;Acre
2009;4,244619990422189;Cruzeiro do Sul;1200203;Acre
2010;22,184683673000052;Cruzeiro do Sul;1200203;Acre
2011;12,691133827596023;Cruzeiro do Sul;1200203;Acre
2012;9,458290393984585;Cruzeiro do Sul;1200203;Acre
2013;5,475049459782698;Cruzeiro do Sul;1200203;Acre
2014;10,649231138236106;Cruzeiro do Sul;1200203;Acre
2015;3,4343950173025606;Cruzeiro do Sul;1200203;Acre
2016;9,263035265700559;Cruzeiro do Sul;1200203;Acre
2017;9,448194558135489;Cruzeiro do Sul;1200203;Acre
2018;18,06203682657341;Cruzeiro do Sul;1200203;Acre
2019;25,21220374338955;Cruzeiro do Sul;1200203;Acre
2020;42,468010778453305;Cruzeiro do Sul;1200203;Acre
2021;33,569091024241196;Cruzeiro do Sul;1200203;Acre
2022;54,70513593779275;Cruzeiro do Sul;1200203;Acre
2023;28,062495365900656;Cruzeiro do Sul;1200203;Acre
2024;17,078670229028575;Cruzeiro do Sul;1200203;Acre
2025;15,147706922496457;Cruzeiro do Sul;1200203;Acre
2007;887,015979640781;Epitaciolândia;1200252;Acre
2008;4,337023081744457;Epitaciolândia;1200252;Acre
2009;4,215658157319665;Epitaciolândia;1200252;Acre
2010;3,752059735841231;Epitaciolândia;1200252;Acre
2011;7,109109556688126;Epitaciolândia;1200252;Acre
2012;12,330479342469609;Epitaciolândia;1200252;Acre
2013;6,40389637116385;Epitaciolândia;1200252;Acre
2014;8,913272113286629;Epitaciolândia;1200252;Acre
2015;9,740573174558177;Epitaciolândia;1200252;Acre
2016;7,306666615356334;Epitaciolândia;1200252;Acre
2017;5,5465560428732745;Epitaciolândia;1200252;Acre
2018;7,9877944319209;Epitaciolândia;1200252;Acre
2019;11,37442527732734;Epitaciolândia;1200252;Acre
2020;8,44729010607132;Epitaciolândia;1200252;Acre
2021;18,651166502282063;Epitaciolândia;1200252;Acre
2022;10,73490731006655;Epitaciolândia;1200252;Acre
2023;9,014210841096132;Epitaciolândia;1200252;Acre
2024;5,746813997799139;Epitaciolândia;1200252;Acre
2025;1,4335165988215437;Epitaciolândia;1200252;Acre
2007;1622,3747772948184;Feijó;1200302;Acre
2008;27,15449299837316;Feijó;1200302;Acre
2009;19,510951050479328;Feijó;1200302;Acre
2010;22,650038250129178;Feijó;1200302;Acre
2011;23,320942251056422;Feijó;1200302;Acre
2012;30,844481810777737;Feijó;1200302;Acre
2013;23,75058626660856;Feijó;1200302;Acre
2014;37,306343506040385;Feijó;1200302;Acre
2015;10,621369903485933;Feijó;1200302;Acre
2016;38,63041927114999;Feijó;1200302;Acre
2017;26,37136967899302;Feijó;1200302;Acre
2018;72,24462233514947;Feijó;1200302;Acre
2019;94,01746290829881;Feijó;1200302;Acre
2020;99,8771276183092;Feijó;1200302;Acre
2021;139,01409407157354;Feijó;1200302;Acre
2022;193,22047530205867;Feijó;1200302;Acre
2023;62,86275506956902;Feijó;1200302;Acre
2024;75,68563402343557;Feijó;1200302;Acre
2025;47,392480742239;Feijó;1200302;Acre
2007;174,15428158443478;Jordão;1200328;Acre
2008;7,231227456651118;Jordão;1200328;Acre
2009;1,8881651293620814;Jordão;1200328;Acre
2010;6,802984353730216;Jordão;1200328;Acre
2011;5,986263533621399;Jordão;1200328;Acre
2012;7,029948727664709;Jordão;1200328;Acre
2013;2,2185822308204295;Jordão;1200328;Acre
2014;6,906406579817059;Jordão;1200328;Acre
2015;0,9276286524045688;Jordão;1200328;Acre
2016;2,1412350368006403;Jordão;1200328;Acre
2017;2,486291765919426;Jordão;1200328;Acre
2018;6,2738193400286235;Jordão;1200328;Acre
2019;11,045403182586698;Jordão;1200328;Acre
2020;11,651268173389946;Jordão;1200328;Acre
2021;9,743084412118868;Jordão;1200328;Acre
2022;15,351907746810463;Jordão;1200328;Acre
2023;4,9538104426430225;Jordão;1200328;Acre
2024;7,252137815709607;Jordão;1200328;Acre
2025;2,0516332175829772;Jordão;1200328;Acre
2007;363,4315167879087;Manoel Urbano;1200344;Acre
2008;4,903631724085479;Manoel Urbano;1200344;Acre
2009;5,3262298477413035;Manoel Urbano;1200344;Acre
2010;8,194996385497047;Manoel Urbano;1200344;Acre
2011;8,014796524738584;Manoel Urbano;1200344;Acre
2012;13,680466082006511;Manoel Urbano;1200344;Acre
2013;16,334963835244224;Manoel Urbano;1200344;Acre
2014;18,45966624900313;Manoel Urbano;1200344;Acre
2015;19,168399442861134;Manoel Urbano;1200344;Acre
2016;26,91693793984559;Manoel Urbano;1200344;Acre
2017;17,582904194908696;Manoel Urbano;1200344;Acre
2018;46,45556983173468;Manoel Urbano;1200344;Acre
2019;31,617732163836642;Manoel Urbano;1200344;Acre
2020;54,00287142479195;Manoel Urbano;1200344;Acre
2021;41,544636909247544;Manoel Urbano;1200344;Acre
2022;88,29876451631137;Manoel Urbano;1200344;Acre
2023;30,428358198595443;Manoel Urbano;1200344;Acre
2024;24,449980097253345;Manoel Urbano;1200344;Acre
2025;19,272702748178606;Manoel Urbano;1200344;Acre
2007;275,7402768082613;Marechal Thaumaturgo;1200351;Acre
2008;11,838664324327075;Marechal Thaumaturgo;1200351;Acre
2009;0,06074754333940311;Marechal Thaumaturgo;1200351;Acre
2010;22,028140529129438;Marechal Thaumaturgo;1200351;Acre
2011;10,887392540958365;Marechal Thaumaturgo;1200351;Acre
2012;3,672968235593124;Marechal Thaumaturgo;1200351;Acre
2013;2,1621689517645994;Marechal Thaumaturgo;1200351;Acre
2014;8,861123098033866;Marechal Thaumaturgo;1200351;Acre
2015;0,4654908337098319;Marechal Thaumaturgo;1200351;Acre
2016;2,5779650939374754;Marechal Thaumaturgo;1200351;Acre
2017;2,586283775519265;Marechal Thaumaturgo;1200351;Acre
2018;4,072820508666266;Marechal Thaumaturgo;1200351;Acre
2019;13,670705039538872;Marechal Thaumaturgo;1200351;Acre
2020;28,64752390758296;Marechal Thaumaturgo;1200351;Acre
2021;6,334785821761738;Marechal Thaumaturgo;1200351;Acre
2022;9,783349272480155;Marechal Thaumaturgo;1200351;Acre
2023;10,833010093410016;Marechal Thaumaturgo;1200351;Acre
2024;9,109852680761502;Marechal Thaumaturgo;1200351;Acre
2025;4,963843022729275;Marechal Thaumaturgo;1200351;Acre
2007;427,53617791820955;Mâncio Lima;1200336;Acre
2008;4,308356667791455;Mâncio Lima;1200336;Acre
2009;1,2999798503296012;Mâncio Lima;1200336;Acre
2010;4,65281783626231;Mâncio Lima;1200336;Acre
2011;11,660076303470422;Mâncio Lima;1200336;Acre
2012;3,290452964547554;Mâncio Lima;1200336;Acre
2013;2,597718952809884;Mâncio Lima;1200336;Acre
2014;2,9689156846606286;Mâncio Lima;1200336;Acre
2015;2,28715750163427;Mâncio Lima;1200336;Acre
2016;2,9881926703091084;Mâncio Lima;1200336;Acre
2017;1,8343602508477153;Mâncio Lima;1200336;Acre
2018;3,652650751899439;Mâncio Lima;1200336;Acre
2019;12,038761280244426;Mâncio Lima;1200336;Acre
2020;6,2169806084897825;Mâncio Lima;1200336;Acre
2021;10,696676530694097;Mâncio Lima;1200336;Acre
2022;13,219298441886641;Mâncio Lima;1200336;Acre
2023;8,200193055141682;Mâncio Lima;1200336;Acre
2024;3,747091732358785;Mâncio Lima;1200336;Acre
2025;2,5332382666732327;Mâncio Lima;1200336;Acre
2007;1431,477985925579;Plácido de Castro;1200385;Acre
2008;3,260656657652976;Plácido de Castro;1200385;Acre
2009;10,460969999597484;Plácido de Castro;1200385;Acre
2010;5,693200083301151;Plácido de Castro;1200385;Acre
2011;6,9498468759078476;Plácido de Castro;1200385;Acre
2012;3,8680052180970654;Plácido de Castro;1200385;Acre
2013;4,9017080450813975;Plácido de Castro;1200385;Acre
