"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Cód.";"Município";"Ano x Tipo de rebanho"
"Cód.";"Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Cód.";"Município";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino"
"1100015";"Alta Floresta D'Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"15072";"17670";"20745";"33192";"39830";"47796";"63568";"69920";"76210";"162835";"135425";"158418";"174259";"191685";"276377";"247889";"304501";"356520";"364298";"346379";"352496";"356190";"355942";"364184";"365538";"372731";"386456";"391388";"407890";"403973";"408765";"421964";"428976";"460450";"473192";"549541";"567114";"585500"
"1100023";"Ariquemes (RO)";"...";"...";"...";"...";"12600";"24450";"23968";"25400";"25000";"39500";"44068";"49356";"86148";"99932";"160896";"300000";"282600";"291400";"320000";"105000";"107500";"165000";"150832";"165915";"194272";"213699";"235069";"324368";"383335";"418289";"438748";"452222";"457625";"427585";"423750";"440053";"439355";"446471";"442851";"427419";"431871";"455731";"449108";"477322";"491414";"477665";"499067";"509210";"589542";"615978";"618967"
"1100031";"Cabixi (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"11900";"32725";"38300";"38300";"65000";"65500";"65500";"79288";"67070";"78538";"86392";"92871";"120445";"120975";"130276";"126470";"124938";"127163";"125083";"115908";"119429";"126455";"122807";"114831";"126719";"120979";"130561";"129593";"126630";"128240";"121798";"121887";"124604";"125615";"121036";"120000"
"1100049";"Cacoal (RO)";"...";"...";"...";"...";"6486";"13000";"30964";"19620";"26450";"45000";"60286";"83900";"101095";"118523";"138956";"162926";"179218";"197139";"216856";"166978";"171987";"187465";"237747";"261522";"306218";"312324";"317619";"245121";"339254";"408234";"442615";"422577";"415620";"390063";"398202";"407258";"417489";"419282";"430072";"427708";"438698";"454967";"452130";"463570";"451876";"432640";"427096";"437032";"510455";"502394";"496250"
"1100056";"Cerejeiras (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"16567";"18368";"22960";"59696";"74620";"77620";"102000";"140000";"144228";"170190";"178190";"161367";"80700";"94341";"96228";"97671";"97959";"105718";"101192";"95498";"92561";"92916";"89098";"87554";"87536";"88031";"89782";"85034";"84383";"83281";"90184";"93540";"96654";"92156";"89884";"84738";"82558";"98342";"94526";"99350"
"1100064";"Colorado do Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"18400";"29513";"33818";"35461";"41655";"54151";"62304";"75550";"79327";"95192";"261000";"45000";"56250";"94600";"109596";"120556";"141160";"143983";"156221";"133636";"173527";"205153";"226997";"221730";"222276";"207787";"208772";"221575";"230173";"235774";"238188";"253874";"250682";"255188";"262026";"266464";"264031";"255696";"260077";"267070";"300433";"301612";"293550"
"1100072";"Corumbiara (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"283000";"316960";"316960";"171205";"149119";"136605";"150266";"162287";"257075";"276328";"283556";"281191";"282155";"270117";"246615";"233144";"239998";"256878";"270673";"271338";"281585";"276666";"308620";"326989";"334610";"328066";"324898";"309415";"308673";"363765";"348259";"346200"
"1100080";"Costa Marques (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"8000";"12000";"13500";"31941";"34986";"43713";"37109";"34697";"29492";"32293";"35522";"46178";"49872";"51168";"20244";"6956";"8150";"8965";"9861";"38394";"48317";"62196";"79145";"94942";"111780";"133138";"138318";"146918";"158812";"175476";"196795";"213667";"220491";"229225";"221944";"218071";"231147";"253226";"261485";"265041";"316004";"329150";"338560"
"1100098";"Espigão D'Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"18450";"54000";"77000";"40535";"42975";"46580";"50488";"54730";"61267";"88990";"115687";"128413";"188000";"203040";"142908";"157199";"184066";"202473";"222720";"271173";"283130";"333746";"388408";"389533";"362457";"339248";"344269";"356283";"364625";"372401";"374000";"370767";"384560";"397743";"406140";"408811";"400384";"389774";"386629";"383370";"438153";"449318";"458000"
"1100106";"Guajará-Mirim (RO)";"16314";"15619";"20833";"17143";"12943";"15532";"22560";"26030";"24188";"12582";"13162";"17259";"23066";"25017";"11600";"10800";"11664";"15640";"25227";"45000";"45015";"49517";"36470";"40117";"46973";"51670";"56837";"71088";"80643";"90697";"101690";"115728";"128140";"122993";"119672";"116824";"115725";"124439";"119842";"117420";"117173";"127103";"124906";"125663";"123155";"128580";"136716";"141386";"162086";"172219";"170870"
"1100114";"Jaru (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"19894";"37650";"45933";"58721";"61693";"69570";"93048";"114076";"119779";"144650";"210500";"134062";"163392";"255698";"197285";"217014";"254103";"259185";"285104";"257447";"339903";"420187";"504004";"525369";"520925";"501994";"491908";"510829";"505302";"506417";"512125";"509926";"512236";"522371";"528035";"542636";"538523";"517149";"526279";"534672";"604613";"627467";"627580"
"1100122";"Ji-Paraná (RO)";"...";"...";"...";"...";"24056";"47772";"80886";"81000";"38911";"44748";"56212";"70395";"77526";"85434";"90585";"99640";"109610";"131532";"144685";"170728";"221946";"255237";"204525";"224978";"263428";"289771";"318748";"305988";"401235";"425392";"488532";"497822";"464058";"425983";"424770";"436200";"436353";"433821";"430038";"428618";"424792";"440260";"441715";"432563";"428178";"391649";"393578";"402959";"458010";"471299";"469800"
"1100130";"Machadinho D'Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"4000";"14330";"12560";"13250";"18750";"40312";"40000";"50417";"34046";"39943";"49069";"53976";"75861";"96969";"127539";"166981";"200750";"212517";"215719";"231390";"241871";"257179";"237991";"229511";"237290";"267815";"291490";"317606";"349247";"374578";"389409";"407629";"416642";"497182";"546726";"547050"
"1100148";"Nova Brasilândia D'Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"550";"14652";"17289";"20747";"24481";"29377";"36427";"57992";"63791";"74694";"76188";"83807";"97894";"125630";"149231";"179975";"200135";"203523";"117904";"121534";"122907";"125810";"129261";"143846";"154298";"168979";"179418";"197814";"209837";"226734";"219631";"230251";"226852";"268156";"265557";"259550"
"1100155";"Ouro Preto do Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"41968";"71430";"89730";"107494";"112443";"123912";"148694";"163563";"179922";"197914";"237496";"214908";"223504";"241384";"316175";"233949";"273852";"279329";"259615";"178438";"261334";"333064";"351553";"359948";"357020";"331059";"332295";"331503";"336278";"340610";"349716";"345353";"355206";"354303";"358450";"373707";"370751";"356573";"356886";"361116";"406601";"415696";"410010"
"1100189";"Pimenta Bueno (RO)";"...";"...";"...";"...";"41140";"45000";"42968";"46447";"42000";"97000";"106159";"70434";"72517";"78601";"85196";"92353";"103435";"155152";"201697";"242036";"290443";"318325";"270768";"127195";"141685";"155854";"171439";"209571";"240281";"262371";"316283";"297306";"246197";"220755";"231645";"234393";"238284";"241637";"237865";"248692";"253103";"269375";"287288";"287642";"293633";"304879";"312938";"318608";"388946";"398047";"409500"
"1100205";"Porto Velho (RO)";"24716";"35888";"45164";"57746";"13000";"23500";"27659";"31378";"28835";"35660";"39940";"41000";"43635";"46689";"56797";"60500";"61710";"62944";"105000";"42000";"46689";"42090";"103253";"113578";"132990";"146289";"160918";"277321";"338357";"400092";"426479";"539067";"579892";"567948";"608664";"617901";"609860";"679837";"707405";"711903";"741165";"834570";"900419";"969745";"1043523";"1141763";"1267441";"1353947";"1685258";"1772153";"1794590"
"1100254";"Presidente Médici (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"10183";"23000";"29988";"49319";"53776";"46252";"51345";"55975";"53177";"58494";"64343";"80428";"86862";"95548";"174107";"191517";"224250";"246675";"191835";"159124";"220560";"226710";"288775";"286266";"288162";"265162";"269672";"275768";"285603";"286207";"290539";"292905";"304972";"317417";"333301";"346128";"346773";"337316";"349255";"358271";"397524";"402859";"401800"
"1100262";"Rio Crespo (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"75254";"50600";"70400";"59308";"46251";"58000";"63800";"70180";"92825";"96971";"109821";"130770";"136632";"142798";"136467";"138051";"133964";"131458";"129382";"121950";"118342";"124086";"120699";"123673";"126550";"123522";"124462";"120602";"123859";"136542";"136636";"137750"
"1100288";"Rolim de Moura (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"37920";"48070";"56357";"49166";"57696";"63465";"76158";"102813";"86480";"90000";"97200";"114314";"125745";"147236";"150181";"163234";"129359";"204599";"232344";"237784";"245576";"235513";"217321";"217633";"222679";"223627";"227932";"230908";"226115";"235862";"247957";"235599";"244242";"234930";"238803";"238534";"238493";"273390";"267969";"275010"
"1100296";"Santa Luzia D'Oeste (RO)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"14463";"16956";"20043";"23049";"27659";"38722";"46466";"62500";"67500";"79136";"87050";"101927";"103965";"114362";"104588";"126909";"168574";"178574";"178705";"172555";"154431";"157892";"169958";"166146";"168145";"172502";"166641";"168280";"175488";"167818";"174700";"176864";"173169";"180501";"182047";"197058";"205435";"208432"
"1100304";"Vilhena (RO)";"...";"...";"...";"...";"6392";"6967";"21281";"24473";"45000";"73000";"83867";"53997";"66354";"82841";"94292";"120694";"126729";"970000";"350000";"472500";"350000";"362000";"82078";"59311";"55604";"61164";"66974";"101494";"108511";"116620";"121352";"116426";"113245";"101901";"89015";"92180";"94648";"95623";"99636";"105138";"111404";"120620";"125403";"119810";"124463";"132312";"142155";"131267";"164264";"170512";"166500"
